model,scenario,prcp,tavg
CCSM4,RCP 2.6,1.084189669,1.377803174
CESM1-CAM5,RCP 2.6,6.975758675,1.824371728
CNRM-CM5,RCP 2.6,5.652616811,1.944894496
CSIRO-Mk3-6-0,RCP 2.6,0.009274126,1.596589112
CanESM2,RCP 2.6,7.868253389,2.549647999
FGOALS-g2,RCP 2.6,5.068439887,1.416532147
FIO-ESM,RCP 2.6,-4.209278295,0.470256266
GFDL-CM3,RCP 2.6,5.99595796,2.914299711
GFDL-ESM2G,RCP 2.6,2.087713786,1.048021948
GISS-E2-H,RCP 2.6,-1.265748036,1.081660882
GISS-E2-R,RCP 2.6,-0.161542431,0.952581343
HadGEM2-AO,RCP 2.6,4.129508147,2.201115695
HadGEM2-ES,RCP 2.6,5.95002113,2.236607631
IPSL-CM5A-LR,RCP 2.6,1.129669881,2.078819352
IPSL-CM5A-MR,RCP 2.6,-3.774858976,2.082503561
MIROC-ESM,RCP 2.6,3.284787638,2.305237092
MIROC-ESM-CHEM,RCP 2.6,0.177016608,2.434386146
MIROC5,RCP 2.6,2.14572724,2.09917054
MPI-ESM-LR,RCP 2.6,-3.887248395,1.60059304
MPI-ESM-MR,RCP 2.6,-0.9862027,1.313782323
MRI-CGCM3,RCP 2.6,-0.657348157,1.224827789
NorESM1-M,RCP 2.6,4.832215921,1.596941287
NorESM1-ME,RCP 2.6,2.604711975,1.821412285
bcc-csm1-1,RCP 2.6,1.423005405,1.618129296
bcc-csm1-1-m,RCP 2.6,2.314483313,1.624044973
ACCESS1-0,RCP 4.5,2.412932504,2.65033458
ACCESS1-3,RCP 4.5,4.164156235,2.343167756
CCSM4,RCP 4.5,-1.846462789,1.854879438
CESM1-BGC,RCP 4.5,1.130731098,1.815896972
CESM1-CAM5,RCP 4.5,5.126242807,2.102927286
CMCC-CM,RCP 4.5,3.976871227,2.358167596
CMCC-CMS,RCP 4.5,1.982282606,2.271287117
CNRM-CM5,RCP 4.5,7.596594523,2.171561863
CSIRO-Mk3-6-0,RCP 4.5,-5.762123284,2.027172112
CanESM2,RCP 4.5,6.658363821,2.860077455
FGOALS-g2,RCP 4.5,3.367171695,2.102925628
FIO-ESM,RCP 4.5,-2.860417935,0.724272483
GFDL-CM3,RCP 4.5,3.40581548,3.238057013
GFDL-ESM2G,RCP 4.5,1.496367519,1.405459378
GFDL-ESM2M,RCP 4.5,-2.274507226,1.405241978
GISS-E2-H,RCP 4.5,0.726884772,1.690991648
