,Dprcp,Dtas
ACCESS1-0,-1.5487807001664522,3.6764902560833335
ACCESS1-3,3.8508609364683144,3.0939851414166664
CCSM4,0.5025690327572052,2.4997365790833332
CESM1-BGC,-1.5733051214580351,2.5363215420833334
CESM1-CAM5,7.85613624734296,3.032984784416667
CMCC-CESM,5.896510135016753,2.6925242792499997
CMCC-CM,0.01422989449968437,3.361508349416667
CMCC-CMS,-0.03393763997032728,3.104374386416667
CNRM-CM5,5.856317032095748,2.7168815488333333
CSIRO-Mk3-6-0,-8.039940338876084,2.616298081
CanESM2,10.435298781603674,3.7668005511666665
EC-EARTH,4.216543585238219,2.2315846227500002
FGOALS-g2,1.831759721334647,2.954042342916667
FIO-ESM,-7.882515476027141,1.6842652107499998
GFDL-CM3,0.6197539700789179,4.247134778166667
GFDL-ESM2G,-4.245625460283642,2.1449586916666665
GFDL-ESM2M,-6.571973042452539,2.0001726400833335
GISS-E2-H,-1.7984206356205346,2.2555444855
GISS-E2-R,-2.3214640359635053,2.0692625592500002
HadGEM2-AO,0.46444632744084835,3.4580342265
HadGEM2-CC,3.269232886189166,3.663175658
HadGEM2-ES,1.3214348809442944,3.5678755378333338
IPSL-CM5A-LR,-1.3469313168290253,3.501416657166667
IPSL-CM5A-MR,-9.026368929476746,3.5508709335
IPSL-CM5B-LR,0.8398921779146029,2.7876787980833337
MIROC-ESM,4.359729066468576,3.519893222
MIROC-ESM-CHEM,1.369581652233376,3.5049608088333337
MIROC5,4.141678380940861,3.070749075333334
MPI-ESM-LR,-9.610571470928065,2.6754167939166664
MPI-ESM-MR,-2.2134820875948646,2.565106953166667
MRI-CGCM3,4.718217640050626,2.4362244184166664
NorESM1-M,0.4007518980370106,2.705340468333334
NorESM1-ME,1.4624847160630727,2.727857747
bcc-csm1-1,-3.1005869884242143,2.735764924833333
bcc-csm1-1-m,-0.9267188079248645,2.891463224416667
inmcm4,-3.3444962224207786,1.6193947106666666
